city,hotel_name,url,rating,description,city_id,latitude,longitude
Lille,B&B HOTEL Lille Centre Grand Palais,https://www.booking.com/hotel/fr/b-b-lille-centre-grand-palais.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9saWxsZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCotyE0gbAAgHSAiQ1ZjQwODNhNy1hODJiLTRkZDgtYTQwMS02ODU2ZDYyMWZhNWHYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=190c6511b7650273&srepoch=1782656552&from_sustainable_property_sr=1&from=searchresults,8.0,N/A,8,50.6365654,3.0635282
Strasbourg,ibis Styles Strasbourg Stade de la Meinau,https://www.booking.com/hotel/fr/ibis-strasbourg-la-meinau.fr.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK73ITSBsACAdICJDEyZjE4MDkwLTQ4NTUtNDBlZC1hNDM4LTBiOGU5ZDdhZGZlYtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=a010651d0e9d0973&srepoch=1782656577&from_sustainable_property_sr=1&from=searchresults,8.0,N/A,9,48.584614,7.7507127
Strasbourg,hotelF1 Strasbourg Pont de l'Europe,https://www.booking.com/hotel/fr/hotelf1-strasbourg-pont-de-l-europe.fr.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK73ITSBsACAdICJDEyZjE4MDkwLTQ4NTUtNDBlZC1hNDM4LTBiOGU5ZDdhZGZlYtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=a010651d0e9d0973&srepoch=1782656577&from=searchresults,6.0,N/A,9,48.5730954,7.7929585
Strasbourg,Appartement Petite France avec terrasse,https://www.booking.com/hotel/fr/appartement-petite-france-avec-terrasse.fr.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAK73ITSBsACAdICJDEyZjE4MDkwLTQ4NTUtNDBlZC1hNDM4LTBiOGU5ZDdhZGZlYtgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=a010651d0e9d0973&srepoch=1782656577&from=searchresults,9.2,N/A,9,48.584614,7.7507127
Chateau du Haut Koenigsbourg,Gîtes Strengbach,https://www.booking.com/hotel/fr/strenbach.fr.html?aid=304142&label=gen173nr-10CAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALV3ITSBsACAdICJDlmMjQ5YWU4LTNlYjQtNDcxOS04Nzk1LTc4ZWI0NDkxZmU5Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=9abb652af89f0050&srepoch=1782656603&from=searchresults,9.7,N/A,10,48.249382,7.3439412
Chateau du Haut Koenigsbourg,Gite-Annie,https://www.booking.com/hotel/fr/gite-annie.fr.html?aid=304142&label=gen173nr-10CAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALV3ITSBsACAdICJDlmMjQ5YWU4LTNlYjQtNDcxOS04Nzk1LTc4ZWI0NDkxZmU5Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=9abb652af89f0050&srepoch=1782656603&from=searchresults,8.8,N/A,10,48.249382,7.3439412
Chateau du Haut Koenigsbourg,La Fermette vosgienne de la Goutte,https://www.booking.com/hotel/fr/fermette-vosgienne-de-la-goutte.fr.html?aid=304142&label=gen173nr-10CAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALV3ITSBsACAdICJDlmMjQ5YWU4LTNlYjQtNDcxOS04Nzk1LTc4ZWI0NDkxZmU5Y9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=9abb652af89f0050&srepoch=1782656603&from=searchresults,9.6,N/A,10,48.249382,7.3439412
Colmar,Cit'Hotel Primo Colmar Centre,https://www.booking.com/hotel/fr/primo-colmar.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jb2xtYXJIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_chNIGwAIB0gIkM2FhYmIzOTYtNGI4OC00Nzg3LWE2YjctODBlZjhkYjMyNjhi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=fdc66537425d003b&srepoch=1782656629&from=searchresults,7.3,N/A,11,48.0777517,7.3579641
Colmar,Chez Jeanne - 2 personnes,https://www.booking.com/hotel/fr/chez-jeanne-colmar.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jb2xtYXJIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_chNIGwAIB0gIkM2FhYmIzOTYtNGI4OC00Nzg3LWE2YjctODBlZjhkYjMyNjhi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=fdc66537425d003b&srepoch=1782656629&from=searchresults,8.9,N/A,11,48.0777517,7.3579641
Colmar,Le Studio Bleu*10' centre*Parking*Balcon,https://www.booking.com/hotel/fr/le-studio-bleu-10-centre-parking-balcon.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jb2xtYXJIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Au_chNIGwAIB0gIkM2FhYmIzOTYtNGI4OC00Nzg3LWE2YjctODBlZjhkYjMyNjhi2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=fdc66537425d003b&srepoch=1782656629&from=searchresults,8.8,N/A,11,48.0777517,7.3579641
Eguisheim,B&B Relais du Vigneron - Jean-Luc et Bruno Meyer,https://www.booking.com/hotel/fr/relais-du-vigneron-meyer.fr.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9lZ3Vpc2hlaW1IDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AojdhNIGwAIB0gIkODBiMzNkMTUtZDBlYS00ZGE1LWExYTItMDNkODc2NTlkZDMw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=07c565445f190006&srepoch=1782656654&from=searchresults,9.1,N/A,12,48.0447968,7.3079618
Eguisheim,Le Studio des Vignes,https://www.booking.com/hotel/fr/charmant-studio-avec-parking-eguisheim.fr.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9lZ3Vpc2hlaW1IDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AojdhNIGwAIB0gIkODBiMzNkMTUtZDBlYS00ZGE1LWExYTItMDNkODc2NTlkZDMw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=07c565445f190006&srepoch=1782656654&from=searchresults,9.5,N/A,12,48.0447968,7.3079618
Eguisheim,Gîtes Au Château Fleuri,https://www.booking.com/hotel/fr/gite-au-chateau-fleuri.fr.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9lZ3Vpc2hlaW1IDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AojdhNIGwAIB0gIkODBiMzNkMTUtZDBlYS00ZGE1LWExYTItMDNkODc2NTlkZDMw2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=07c565445f190006&srepoch=1782656654&from=searchresults,9.5,N/A,12,48.0447968,7.3079618
Besancon,Chambre d'Hôtes La Villa Molina,https://www.booking.com/hotel/fr/la-villa-molina.fr.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9iZXNhbmNvbkgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCod2E0gbAAgHSAiRiN2ZjNWIyZS1iZmIwLTQ4NTgtYmZjMC01ODE0YTQ1N2M0ZmXYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=775b655017050019&srepoch=1782656679&from=searchresults,9.4,N/A,13,47.2380222,6.0243622
Besancon,Hôtel AKENA Besançon,https://www.booking.com/hotel/fr/akena-besancon.fr.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9iZXNhbmNvbkgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCod2E0gbAAgHSAiRiN2ZjNWIyZS1iZmIwLTQ4NTgtYmZjMC01ODE0YTQ1N2M0ZmXYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=775b655017050019&srepoch=1782656679&from=searchresults,8.7,N/A,13,47.2346062,5.9007257
Besancon,hotelF1 Besancon Ouest Micropolis,https://www.booking.com/hotel/fr/hotelf1-besancon-ouest-micropolis.fr.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9iZXNhbmNvbkgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCod2E0gbAAgHSAiRiN2ZjNWIyZS1iZmIwLTQ4NTgtYmZjMC01ODE0YTQ1N2M0ZmXYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=775b655017050019&srepoch=1782656679&from=searchresults,4.7,N/A,13,47.2380222,6.0243622
Dijon,Cosy T2 38m2 - Centre-Ville Dijon- Gare/Darcy,https://www.booking.com/hotel/fr/9-rue-benigne-fremyot.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9kaWpvbkgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCu92E0gbAAgHSAiQ1ZjNkMGVkNC00NzQyLTRhYTgtYjRiOC0xNTI1M2RiMTlkMDfYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=b3c9655daa360200&srepoch=1782656705&from=searchresults,9.3,N/A,14,47.3215806,5.0414701
