city,hotel_name,url,rating,description,city_id
Amiens,Maison Longuevie,https://www.booking.com/hotel/fr/longuevie.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9hbWllbnNIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Asm069EGwAIB0gIkZjljNTY1YWItNDdmYi00MzU0LTkxN2QtMzMzYjIyYzY0NzQ02AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=ef6586e403c2026d&srepoch=1782241871&from=searchresults,9.4,N/A,7
Lille,Hotel & Spa Oceania Lille Les Augustins,https://www.booking.com/hotel/fr/amp-spa-oceania-les-augustins.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9saWxsZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC4rTr0QbAAgHSAiQxYmM0ZjdhNi01OGIzLTQyNDctYjQ1Ny1mZGEwMzg2OGMxZDLYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=eebf86f1430902ce&srepoch=1782241896&from=searchresults,8.6,N/A,8
Lille,Hilton Lille,https://www.booking.com/hotel/fr/hotel-lille-euralille-hilton-affiliate.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9saWxsZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC4rTr0QbAAgHSAiQxYmM0ZjdhNi01OGIzLTQyNDctYjQ1Ny1mZGEwMzg2OGMxZDLYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=eebf86f1430902ce&srepoch=1782241896&from_sustainable_property_sr=1&from=searchresults,8.1,N/A,8
Lille,Eklo Hotels Lille,https://www.booking.com/hotel/fr/eklo-hotels-lille.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9saWxsZUgNWARoTYgBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgC4rTr0QbAAgHSAiQxYmM0ZjdhNi01OGIzLTQyNDctYjQ1Ny1mZGEwMzg2OGMxZDLYAgHgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=eebf86f1430902ce&srepoch=1782241896&from_sustainable_property_sr=1&from=searchresults,7.7,N/A,8
Strasbourg,The People - Strasbourg,https://www.booking.com/hotel/fr/the-people-hostel-strasbourg.fr.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL8tOvRBsACAdICJGY1NzU3MDIxLWI2ZmMtNGZlMi05MWExLTg5MGQzMjcwM2E1YdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=0fa786fef9fe014a&srepoch=1782241921&from_sustainable_property_sr=1&from=searchresults,7.9,N/A,9
Strasbourg,ibis Strasbourg Centre Petite France,https://www.booking.com/hotel/fr/ibis-strasbourg-centre-petite-france.fr.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL8tOvRBsACAdICJGY1NzU3MDIxLWI2ZmMtNGZlMi05MWExLTg5MGQzMjcwM2E1YdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=0fa786fef9fe014a&srepoch=1782241921&from=searchresults,7.7,N/A,9
Strasbourg,AC Hotel by Marriott Strasbourg,https://www.booking.com/hotel/fr/ac-by-marriott-strasbourg.fr.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9zdHJhc2JvdXJnSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAL8tOvRBsACAdICJGY1NzU3MDIxLWI2ZmMtNGZlMi05MWExLTg5MGQzMjcwM2E1YdgCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=0fa786fef9fe014a&srepoch=1782241921&from_sustainable_property_sr=1&from=searchresults,8.5,N/A,9
Chateau du Haut Koenigsbourg,Chalet Les Prés,https://www.booking.com/hotel/fr/chalet-les-pres.fr.html?aid=304142&label=gen173nr-10CAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKVtevRBsACAdICJDM3MjMwNjA1LTUzZjQtNDNlOC04Y2U4LTY4MzU0MmFlNGU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e4f1870aabe6082c&srepoch=1782241947&from=searchresults,9.4,N/A,10
Chateau du Haut Koenigsbourg,Les Gîtes du Racème,https://www.booking.com/hotel/fr/mannala-blienschwiller.fr.html?aid=304142&label=gen173nr-10CAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKVtevRBsACAdICJDM3MjMwNjA1LTUzZjQtNDNlOC04Y2U4LTY4MzU0MmFlNGU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e4f1870aabe6082c&srepoch=1782241947&from=searchresults,9.4,N/A,10
Chateau du Haut Koenigsbourg,Hôtel Le Mittelwihr,https://www.booking.com/hotel/fr/le-mittelwihr.fr.html?aid=304142&label=gen173nr-10CAQoggJCI3NlYXJjaF9jaGF0ZWF1IGR1IGhhdXQga29lbmlnc2JvdXJnSA1YBGhNiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKVtevRBsACAdICJDM3MjMwNjA1LTUzZjQtNDNlOC04Y2U4LTY4MzU0MmFlNGU1M9gCAeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e4f1870aabe6082c&srepoch=1782241947&from=searchresults,8.8,N/A,10
Colmar,Colmarappart Rue Des Clefs,https://www.booking.com/hotel/fr/colmarappart-rue-des-clefs.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jb2xtYXJIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aq6169EGwAIB0gIkNGM2MGZlZTctMzA4OC00ODk4LWI1YmUtNzc2YTkyM2RhZDMy2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=42a387174af800db&srepoch=1782241972&from=searchresults,8.1,N/A,11
Colmar,Le rohan sawadee,https://www.booking.com/hotel/fr/le-rohan-sawadee.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jb2xtYXJIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aq6169EGwAIB0gIkNGM2MGZlZTctMzA4OC00ODk4LWI1YmUtNzc2YTkyM2RhZDMy2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=42a387174af800db&srepoch=1782241972&from=searchresults,9.5,N/A,11
Colmar,ibis Budget Colmar Centre Gare,https://www.booking.com/hotel/fr/ibis-budget-colmar-centre-ville.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jb2xtYXJIDVgEaE2IAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aq6169EGwAIB0gIkNGM2MGZlZTctMzA4OC00ODk4LWI1YmUtNzc2YTkyM2RhZDMy2AIB4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=42a387174af800db&srepoch=1782241972&from_sustainable_property_sr=1&from=searchresults,7.2,N/A,11
